date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:48	71644/71644	---MCZ	200	added ('OK')	text/html	etag:W/%226145d044-117dc%22	https://htmldemo.net/eme/eme/index.html	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/index.html	(from )
12:36:48	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Nov%202023%2005:36:46%20GMT	https://htmldemo.net/robots.txt		(from )
12:36:49	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226145d058-47e%22	https://htmldemo.net/eme/eme/images/favicon.ico	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/favicon.ico	(from https://htmldemo.net/eme/eme/index.html)
12:36:50	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Nov%202023%2005:36:47%20GMT	https://htmldemo.net/eme/eme/apple-touch-icon.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/apple-touch-icon.png	(from https://htmldemo.net/eme/eme/index.html)
12:36:50	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%226145d049-b78%22	https://htmldemo.net/eme/eme/css/owl.carousel.min.css	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/css/owl.carousel.min.css	(from https://htmldemo.net/eme/eme/index.html)
12:36:51	936/936	---MCZ	200	added ('OK')	text/css	etag:W/%226145d04a-3a8%22	https://htmldemo.net/eme/eme/css/owl.theme.default.min.css	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/css/owl.theme.default.min.css	(from https://htmldemo.net/eme/eme/index.html)
12:36:52	1085/1085	---MCZ	200	added ('OK')	text/css	etag:W/%226145d048-43d%22	https://htmldemo.net/eme/eme/css/core.css	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/css/core.css	(from https://htmldemo.net/eme/eme/index.html)
12:36:52	162719/162719	---MCZ	200	added ('OK')	text/css	etag:W/%226145d04c-27b9f%22	https://htmldemo.net/eme/eme/css/bootstrap.min.css	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/css/bootstrap.min.css	(from https://htmldemo.net/eme/eme/index.html)
12:36:52	652/652	---MCZ	200	added ('OK')	text/css	etag:W/%226145d068-28c%22	https://htmldemo.net/eme/eme/css/shortcode/shortcodes.css	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/css/shortcode/shortcodes.css	(from https://htmldemo.net/eme/eme/index.html)
12:36:53	74322/74322	---MCZ	200	added ('OK')	text/css	etag:W/%226145d046-12252%22	https://htmldemo.net/eme/eme/style.css	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/style.css	(from https://htmldemo.net/eme/eme/index.html)
